Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Birth country,Passport country,Foot,Height,Weight,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,"Shots on target, %","Goal conversion, %",Assists per 90,"Accurate crosses, %","Successful dribbles, %","Offensive duels won, %",Touches in box per 90,"Accurate passes, %",Key passes per 90
Gustavo Scarpa,Palmeiras,"AMF , LAMF , RAMF",28,10000000,2022-12-31,64,5125,Brazil,"Brazil , Italy",left,176,77,5.27,0.25,0.12,31.77,7.292,0.3,36.89,56.09,47.19,1.83,73.92,0.68
J. Arias,Fluminense,"LW , LAMF , RAMF",25,4000000,2025-07-31,68,4959,Colombia,Colombia,right,168,70,4.26,0.29,0.27,40.63,25,0.29,29.93,59.38,39.89,2.83,86.73,0.69
M. Meza,Monterrey,"RW , RAMF , RWF",29,9000000,2023-12-31,45,3796,Argentina,Argentina,right,181,77,6.16,0.12,0.09,36.05,5.814,0.24,40.82,60.58,46.11,1.94,76.99,0.88
J. Ito,Reims,"RWF , RAMF , RW",29,7500000,2026-06-30,47,3782,Japan,Japan,right,177,66,7.5,0.33,0.33,47.06,20.588,0.31,34.55,58.39,46.09,3.78,71.23,1.31
Malcom,Zenit,"RWF , RAMF , RW",25,22000000,2027-06-30,43,3513,Brazil,Brazil,left,172,65,6.53,0.49,0.49,40.16,14.961,0.26,34.31,64.71,49.9,5.07,84.29,0.92
Luquinhas,New York RB,"AMF , RAMF",26,3500000,2024-12-31,46,3512,Brazil,"Brazil , Portugal",right,167,60,4.23,0.23,0.21,34.43,13.115,0.08,21.62,64.2,54.07,2.29,78.3,0.42
I. Sarr,Watford,"RWF , RW , LAMF",24,22000000,2024-06-30,36,3163,Senegal,Senegal,right,185,76,4.75,0.28,0.28,41.43,14.286,0.2,36.78,56.35,42.32,2.96,75.91,0.48
I. Kahveci,Fenerbahçe,"RAMF , RW , RWF",27,8500000,2025-06-30,43,2947,Turkey,Turkey,left,176,72,6.35,0.27,0.27,43.28,13.433,0.24,40.57,62.22,46.78,2.5,79.55,0.76
Rafael Navarro,Palmeiras,CF,22,4000000,2026-12-31,51,2413,Brazil,Brazil,right,185,80,2.5,0.37,0.37,45.45,18.182,0.15,19.05,46.27,31.25,3.8,71.74,0.41
Edmílson Junior,Al Duhail,"LAMF , RAMF , AMF",28,5000000,2024-06-30,24,2013,Belgium,"Belgium , Brazil",right,182,71,11.94,0.63,0.54,41.24,14.433,0.85,41.73,61.89,53.49,5.1,80.82,1.74
Lucas Moura,Tottenham Hotspur,"RWF , AMF , CF",30,15000000,2024-06-30,41,1959,Brazil,Brazil,right,174,70,4.87,0.23,0.23,34.38,15.625,0.28,41.86,55.05,46.84,2.62,76.71,0.74
Rony Lopes,Troyes,"RW , RAMF , AMF",26,4000000,2024-06-30,29,1561,Brazil,"Brazil , Portugal",left,174,68,5.53,0.35,0.35,33.33,11.111,0.35,44.74,71.6,47.45,2.54,81.87,0.63
Breno Lopes,Palmeiras,"RAMF , LAMF , RW",26,2000000,2024-12-31,47,1203,Brazil,Brazil,right,178,72,4.79,0.45,0.45,55,30,0.15,37.5,65.91,50,3.52,78.8,0.6
Carles Pérez,Celta de Vigo,"RCMF3 , CF , RAMF",24,6000000,2024-06-30,29,1172,Spain,Spain,left,173,75,3.84,0.15,0.15,33.33,6.061,0.15,17.65,61.4,50,2.3,86.47,0.46